구분,주소(지번) (addr),주소(도로명) (addr_road),주소(상세) (addr_detail),상세위치 (location_detail),계량기 타입 (meter_type),충전시간 (charging_time),로밍회원 충전여부 (roaming_yn),충전전력량(합계) (charging_kwh),charging_time_td,charging_hour,charging_speed_kwh_per_hour
214,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,85:51:04,n,45.245,3 days 13:51:04,85.85111111111111,0.5270170579556338
215,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,32:32:17,n,72.594,1 days 08:32:17,32.53805555555556,2.231049113431281
216,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:10:27,n,11.81,0 days 00:10:27,0.17416666666666666,67.8086124401914
217,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,60:06:21,n,94.068,2 days 12:06:21,60.10583333333334,1.5650394443135025
218,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,1:00:14,n,62.86,0 days 01:00:14,1.0038888888888888,62.616491422246824
219,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:21:37,n,31.91,0 days 00:21:37,0.36027777777777775,88.57054741711643
220,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,63:04:13,n,55.95,2 days 15:04:13,63.070277777777775,0.8871056537460418
221,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,4:42:38,y,32.467,0 days 04:42:38,4.710555555555556,6.8923929708692055
222,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,5:03:51,y,32.667,0 days 05:03:51,5.064166666666667,6.450617080796445
223,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:59:38,n,73.75,0 days 00:59:38,0.9938888888888889,74.20346562325321
224,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,39:15:25,n,34.29,1 days 15:15:25,39.25694444444444,0.8734760304263223
225,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,11:18:59,n,41.999,0 days 11:18:59,11.31638888888889,3.7113429391983113
226,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,5:24:32,n,5.222,0 days 05:24:32,5.408888888888889,0.9654478225143797
227,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,88:17:08,n,67.418,3 days 16:17:08,88.28555555555556,0.7636356771587148
228,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:18:35,y,44.91,0 days 00:18:35,0.30972222222222223,145.00089686098653
229,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,0:34:25,y,3.764,0 days 00:34:25,0.5736111111111111,6.561937046004843
230,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:43:57,n,56.34,0 days 00:43:57,0.7325,76.91467576791808
231,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:04:56,n,4.391,0 days 00:04:56,0.08222222222222222,53.40405405405405
232,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,4:15:43,y,29.118,0 days 04:15:43,4.2619444444444445,6.8320928110539
233,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:32:33,n,43.46,0 days 00:32:33,0.5425,80.11059907834102
234,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:10:01,y,12.63,0 days 00:10:01,0.16694444444444445,75.65391014975042
235,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,0:28:45,y,3.159,0 days 00:28:45,0.4791666666666667,6.592695652173912
236,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,15:21:29,n,51.983,0 days 15:21:29,15.358055555555556,3.3847383747219157
237,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,12:15:08,n,20.28,0 days 12:15:08,12.252222222222223,1.6552099392400472
238,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,11:16:06,n,12.49,0 days 11:16:06,11.268333333333333,1.1084159148055022
239,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:14:41,n,12.04,0 days 00:14:41,0.24472222222222223,49.19863791146424
240,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:26:43,n,32.469,0 days 00:26:43,0.4452777777777778,72.91852776044917
241,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,0:01:44,n,0.183,0 days 00:01:44,0.028888888888888888,6.334615384615385
242,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,0:00:42,n,0.061,0 days 00:00:42,0.011666666666666667,5.228571428571429
243,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:19:11,n,18.96,0 days 00:19:11,0.31972222222222224,59.30147697654213
244,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:46:42,n,70.67,0 days 00:46:42,0.7783333333333333,90.796573875803
